    ,date      ,price
0   ,2019-03-18,932.75
1   ,2019-03-15,927.06
2   ,2019-03-14,934.42
3   ,2019-03-13,935.41
4   ,2019-03-12,929.86
5   ,2019-03-11,916.24
6   ,2019-03-08,914.74
7   ,2019-03-07,922.29
8   ,2019-03-06,923.58
9   ,2019-03-05,923.66
10  ,2019-03-04,928.42
11  ,2019-03-01,915.32
12  ,2019-02-28,904.98
13  ,2019-02-27,930.54
14  ,2019-02-26,929.51
15  ,2019-02-25,939.47
16  ,2019-02-22,929.5
17  ,2019-02-21,926.09
18  ,2019-02-20,911.8
19  ,2019-02-19,907.82
20  ,2019-02-18,904.93
21  ,2019-02-15,897.74
22  ,2019-02-14,900.12
23  ,2019-02-13,897.42
24  ,2019-02-12,888.33
25  ,2019-02-11,878.67
26  ,2019-02-01,859.81
27  ,2019-01-31,866.06
28  ,2019-01-30,869.16
29  ,2019-01-29,872.03
30  ,2019-01-28,868.76
31  ,2019-01-25,867.7
32  ,2019-01-24,865.52
33  ,2019-01-23,861.73
34  ,2019-01-22,859.17
35  ,2019-01-21,864.1
36  ,2019-01-18,854.79
37  ,2019-01-17,853.34
38  ,2019-01-16,864.29
39  ,2019-01-15,865.1
40  ,2019-01-14,859.42
41  ,2019-01-11,860.3
42  ,2019-01-10,857.95
43  ,2019-01-09,855.51
44  ,2019-01-08,845.43
45  ,2019-01-07,851.41
46  ,2019-01-04,840.17
47  ,2019-01-03,838.79
48  ,2019-01-02,855.66
49  ,2018-12-28,854.99
50  ,2018-12-27,865.45
51  ,2018-12-26,861.02
52  ,2018-12-25,865.69
53  ,2018-12-24,873.64
54  ,2018-12-21,873.09
55  ,2018-12-20,877.03
56  ,2018-12-19,882.79
57  ,2018-12-18,890.68
58  ,2018-12-17,901.41
59  ,2018-12-14,918.79
60  ,2018-12-13,928.9
61  ,2018-12-12,927.7
62  ,2018-12-11,922.34
63  ,2018-12-10,922.82
64  ,2018-12-07,929.59
65  ,2018-12-06,922.86
66  ,2018-12-05,925.68
67  ,2018-12-04,927.46
68  ,2018-12-03,921.72
69  ,2018-11-30,894.79
70  ,2018-11-29,897.58
71  ,2018-11-28,901.4
72  ,2018-11-27,895.3
73  ,2018-11-26,895.05
74  ,2018-11-23,890.62
75  ,2018-11-22,898.9
76  ,2018-11-21,897.1
77  ,2018-11-20,893.09
78  ,2018-11-19,888.76
79  ,2018-11-16,869.24
80  ,2018-11-15,864.98
81  ,2018-11-14,871.55
82  ,2018-11-13,873.87
83  ,2018-11-12,888.2
84  ,2018-11-09,885.65
85  ,2018-11-08,900.4
86  ,2018-11-07,899.25
87  ,2018-11-06,899.61
88  ,2018-11-05,904.83
89  ,2018-11-02,903.43
90  ,2018-11-01,887.72
91  ,2018-10-31,901.57
92  ,2018-10-30,874.06
93  ,2018-10-29,874.43
94  ,2018-10-26,881.06
95  ,2018-10-25,888.86
96  ,2018-10-24,896.5
97  ,2018-10-23,908.0
98  ,2018-10-22,922.75
99  ,2018-10-19,931.69
100 ,2018-10-18,937.54
101 ,2018-10-17,945.91
102 ,2018-10-16,939.41
103 ,2018-10-15,928.55
104 ,2018-10-12,943.49
105 ,2018-10-11,920.02
106 ,2018-10-10,966.27
107 ,2018-10-09,967.37
108 ,2018-10-08,970.28
109 ,2018-10-05,980.75
110 ,2018-10-04,993.61
111 ,2018-10-03,990.6
112 ,2018-10-02,987.88
113 ,2018-10-01,990.41
114 ,2018-09-28,994.73
115 ,2018-09-27,989.45
116 ,2018-09-26,984.39
117 ,2018-09-25,985.11
118 ,2018-09-24,985.59
119 ,2018-09-21,974.43
120 ,2018-09-20,971.18
121 ,2018-09-19,962.7
122 ,2018-09-18,959.75
123 ,2018-09-17,953.79
124 ,2018-09-14,960.33
125 ,2018-09-13,957.17
126 ,2018-09-12,958.67
127 ,2018-09-11,958.91
128 ,2018-09-10,943.31
129 ,2018-09-07,945.59
130 ,2018-09-06,932.12
131 ,2018-09-05,941.0
132 ,2018-09-04,951.14
133 ,2018-08-31,969.23
134 ,2018-08-30,975.43
135 ,2018-08-29,964.99
136 ,2018-08-28,971.01
137 ,2018-08-27,966.55
138 ,2018-08-24,960.42
139 ,2018-08-23,960.94
140 ,2018-08-22,959.63
141 ,2018-08-21,955.27
142 ,2018-08-20,945.65
143 ,2018-08-17,949.23
144 ,2018-08-16,950.18
145 ,2018-08-15,947.82
146 ,2018-08-14,965.6
147 ,2018-08-13,960.02
148 ,2018-08-10,948.32
149 ,2018-08-09,943.91
150 ,2018-08-08,945.89
151 ,2018-08-07,936.92
152 ,2018-08-06,939.84
153 ,2018-08-03,941.12
154 ,2018-08-02,937.86
155 ,2018-08-01,939.31
156 ,2018-07-31,944.38
157 ,2018-07-30,939.6
158 ,2018-07-27,927.19
159 ,2018-07-26,921.33
160 ,2018-07-25,915.68
161 ,2018-07-24,923.53
162 ,2018-07-23,931.31
163 ,2018-07-20,926.5
164 ,2018-07-19,941.09
165 ,2018-07-18,935.42
166 ,2018-07-17,915.53
167 ,2018-07-16,904.18
168 ,2018-07-13,899.45
169 ,2018-07-12,883.87
170 ,2018-07-11,881.14
171 ,2018-07-10,897.96
172 ,2018-07-09,898.73
173 ,2018-07-06,905.62
174 ,2018-07-05,883.77
175 ,2018-07-04,900.89
176 ,2018-07-03,891.97
177 ,2018-07-02,930.12
178 ,2018-06-29,947.55
179 ,2018-06-28,947.03
180 ,2018-06-27,961.29
181 ,2018-06-26,973.9
182 ,2018-06-25,982.09
183 ,2018-06-22,973.05
184 ,2018-06-21,955.75
185 ,2018-06-20,966.86
186 ,2018-06-19,945.11
187 ,2018-06-18,970.35
188 ,2018-06-15,1005.04
189 ,2018-06-14,1004.31
190 ,2018-06-13,1018.59
191 ,2018-06-12,1008.76
192 ,2018-06-11,1024.85
193 ,2018-06-08,1025.87
194 ,2018-06-07,1026.75
195 ,2018-06-06,1022.72
196 ,2018-06-05,1007.32
197 ,2018-06-04,996.67
198 ,2018-06-01,969.15
199 ,2018-05-31,947.31
200 ,2018-05-30,918.64
201 ,2018-05-29,924.9
202 ,2018-05-28,898.0
203 ,2018-05-25,936.32
204 ,2018-05-24,960.55
205 ,2018-05-23,968.54
206 ,2018-05-22,958.95
207 ,2018-05-21,997.21
208 ,2018-05-18,1022.21
209 ,2018-05-17,1007.09
210 ,2018-05-16,1034.3
211 ,2018-05-15,1055.49
212 ,2018-05-14,1051.45
213 ,2018-05-11,1030.79
214 ,2018-05-10,1019.69
215 ,2018-05-09,1046.39
216 ,2018-05-08,1047.83
217 ,2018-05-07,1048.03
218 ,2018-05-04,1010.89
219 ,2018-05-03,1010.35
220 ,2018-05-02,1012.84
221 ,2018-04-27,1027.97
222 ,2018-04-26,1018.97
223 ,2018-04-24,1053.99
224 ,2018-04-23,1055.37
225 ,2018-04-20,1089.45
226 ,2018-04-19,1066.09
227 ,2018-04-18,1115.7
228 ,2018-04-17,1130.32
229 ,2018-04-16,1128.03
230 ,2018-04-13,1134.21
231 ,2018-04-12,1143.5
232 ,2018-04-11,1137.2
233 ,2018-04-10,1168.06
234 ,2018-04-09,1177.68
235 ,2018-04-06,1174.37
236 ,2018-04-05,1169.12
237 ,2018-04-04,1165.75
238 ,2018-04-03,1160.97
239 ,2018-04-02,1171.21
240 ,2018-03-30,1153.08
241 ,2018-03-29,1144.74
242 ,2018-03-28,1151.09
243 ,2018-03-27,1150.3
244 ,2018-03-26,1146.73
245 ,2018-03-23,1128.93
246 ,2018-03-22,1144.58
247 ,2018-03-21,1147.26
248 ,2018-03-20,1134.19
249 ,2018-03-19,1130.26
250 ,2018-03-16,1112.93
251 ,2018-03-15,1110.26
252 ,2018-03-14,1115.0
253 ,2018-03-13,1111.38
254 ,2018-03-12,1106.97
255 ,2018-03-09,1106.54
256 ,2018-03-08,1105.03
257 ,2018-03-07,1092.17
258 ,2018-03-06,1103.31
259 ,2018-03-05,1080.83
260 ,2018-03-02,1106.92
261 ,2018-03-01,1105.84
262 ,2018-02-28,1108.23
263 ,2018-02-27,1106.09
264 ,2018-02-26,1099.71
265 ,2018-02-23,1089.96
266 ,2018-02-22,1064.28
267 ,2018-02-21,1075.47
268 ,2018-02-13,1054.09
269 ,2018-02-12,1034.76
270 ,2018-02-09,996.77
271 ,2018-02-08,1013.56
272 ,2018-02-07,1030.91
273 ,2018-02-06,1007.72
274 ,2018-02-05,1035.02
275 ,2018-02-02,1090.4
