lags,hidden layers,mae      ,mape  ,mse          ,rmse
1   ,"(3, 1)"     ,3630.888 ,3.61  ,15474077.759 ,3933.71
1   ,"(3, 2)"     ,2530.862 ,2.515 ,8019466.736  ,2831.866
1   ,"(3, 3)"     ,1945.797 ,1.932 ,4722439.044  ,2173.117
1   ,"(4, 1)"     ,6266.635 ,6.143 ,43782365.372 ,6616.824
1   ,"(4, 2)"     ,3049.527 ,3.03  ,11371975.421 ,3372.236
1   ,"(4, 3)"     ,1256.957 ,1.24  ,2406889.383  ,1551.415
1   ,"(5, 1)"     ,3470.651 ,3.447 ,14337687.272 ,3786.514
1   ,"(5, 2)"     ,2630.864 ,2.621 ,8895320.671  ,2982.502
1   ,"(5, 3)"     ,3110.97  ,3.085 ,11721318.898 ,3423.641
1   ,"(6, 1)"     ,5754.477 ,5.735 ,38364577.463 ,6193.915
1   ,"(6, 2)"     ,2607.864 ,2.566 ,8686639.699  ,2947.311
1   ,"(6, 3)"     ,1532.156 ,1.52  ,3307639.236  ,1818.692
1   ,"(7, 1)"     ,3454.142 ,3.431 ,14217103.531 ,3770.557
1   ,"(7, 2)"     ,7875.946 ,7.848 ,69274448.426 ,8323.127
1   ,"(7, 3)"     ,1200.203 ,1.184 ,2176914.334  ,1475.437
2   ,"(3, 1)"     ,8412.439 ,8.25  ,78047655.413 ,8834.458
2   ,"(3, 2)"     ,3292.745 ,3.237 ,16285367.824 ,4035.513
2   ,"(3, 3)"     ,2721.105 ,2.7   ,8962448.478  ,2993.735
2   ,"(4, 1)"     ,2883.239 ,2.8   ,12797656.15  ,3577.381
2   ,"(4, 2)"     ,5991.312 ,5.966 ,40392146.087 ,6355.482
2   ,"(4, 3)"     ,6507.368 ,6.384 ,46600657.237 ,6826.467
2   ,"(5, 1)"     ,1067.015 ,1.05  ,1968091.575  ,1402.887
2   ,"(5, 2)"     ,2898.823 ,2.883 ,9737996.062  ,3120.576
2   ,"(5, 3)"     ,1463.127 ,1.444 ,2979694.805  ,1726.179
2   ,"(6, 1)"     ,1867.594 ,1.835 ,5020455.136  ,2240.637
2   ,"(6, 2)"     ,1212.602 ,1.195 ,2176827.439  ,1475.408
2   ,"(6, 3)"     ,1122.342 ,1.098 ,2142136.553  ,1463.604
2   ,"(7, 1)"     ,6795.185 ,6.688 ,48323840.155 ,6951.535
2   ,"(7, 2)"     ,1448.317 ,1.414 ,3456141.257  ,1859.07
2   ,"(7, 3)"     ,1126.432 ,1.109 ,2094782.129  ,1447.336
3   ,"(3, 1)"     ,3166.772 ,3.14  ,12126965.088 ,3482.379
3   ,"(3, 2)"     ,2675.516 ,2.581 ,16319440.653 ,4039.733
3   ,"(3, 3)"     ,1971.868 ,1.933 ,5970686.481  ,2443.499
3   ,"(4, 1)"     ,1451.3   ,1.427 ,3415595.872  ,1848.133
3   ,"(4, 2)"     ,1905.758 ,1.881 ,5547665.577  ,2355.348
3   ,"(4, 3)"     ,1985.422 ,1.977 ,5438773.879  ,2332.118
3   ,"(5, 1)"     ,3760.02  ,3.681 ,17917853.266 ,4232.949
3   ,"(5, 2)"     ,1807.442 ,1.786 ,4306161.335  ,2075.129
3   ,"(5, 3)"     ,4161.949 ,4.142 ,19249343.874 ,4387.407
3   ,"(6, 1)"     ,11417.487,11.351,138133513.612,11753.021
3   ,"(6, 2)"     ,6130.156 ,6.105 ,41525193.67  ,6444.004
3   ,"(6, 3)"     ,2152.897 ,2.132 ,6020471.816  ,2453.665
3   ,"(7, 1)"     ,3584.903 ,3.573 ,15255586.643 ,3905.84
3   ,"(7, 2)"     ,2119.023 ,2.104 ,6128789.145  ,2475.639
3   ,"(7, 3)"     ,1254.379 ,1.227 ,2575965.45   ,1604.981
