name                                                    ,hybrid_order,hybrid_lags,hybrid_hl,hybrid            ,arima_order,arima             ,ann_lags,ann_hl  ,ann               ,lstm_gbm          ,gbm
Cotec Construction JSC                                  ,"(1, 0, 0)" ,2          ,"(5, 2)" ,1539.875919694818 ,"(1, 0, 0)",1566.1077127752467,1       ,"(7, 3)",2189.917078235731 ,1993.153580755529 ,2083.4778864620193
DHG Pharmaceutical JSC                                  ,"(1, 0, 0)" ,1          ,"(4, 2)" ,828.8306907707923 ,"(1, 0, 0)",842.904775450108  ,1       ,"(6, 3)",826.6146499348831 ,1247.9409546039128,1131.674650920073
Faros Construction Corp                                 ,"(1, 0, 0)" ,2          ,"(3, 2)" ,554.8115763487518 ,"(1, 0, 0)",487.3924809166333 ,1       ,"(4, 3)",495.3875037470549 ,548.4199184916424 ,566.435858018034
FPT Corp                                                ,"(2, 1, 3)" ,1          ,"(5, 1)" ,372.1260405501392 ,"(2, 1, 3)",374.88085852510704,2       ,"(7, 3)",491.98339454432784,495.3059845284296 ,509.0620283100615
Gemadept Corp                                           ,"(3, 0, 1)" ,1          ,"(4, 3)" ,257.4752366105375 ,"(3, 0, 1)",213.70671595602366,2       ,"(5, 1)",235.37329852866227,255.0112129332546 ,264.5909742349117
Ho Chi Minh City Infrastructure Investment JSC          ,"(3, 1, 1)" ,2          ,"(6, 1)" ,272.1335649121751 ,"(3, 1, 1)",264.89354661351973,2       ,"(7, 3)",238.76998692381457,298.9908811192599 ,378.0305238495776
Ho Chi Minh City Development Joint Stock Commercial Bank,"(3, 0, 3)" ,1          ,"(6, 1)" ,336.94210408995724,"(3, 0, 3)",323.150485172049  ,1       ,"(6, 3)",318.13140886184146,399.5717123712213 ,448.0778057540785
Hoa Phat Group JSC                                      ,"(2, 0, 3)" ,1          ,"(7, 1)" ,313.74104858346766,"(2, 0, 3)",306.05784700174854,2       ,"(5, 1)",336.75634536408313,446.0447314315089 ,369.64341421013523
Masan Group Corp                                        ,"(1, 1, 0)" ,2          ,"(6, 1)" ,939.0476563209618 ,"(1, 1, 0)",799.7915776099298 ,1       ,"(6, 3)",797.2840742675519 ,955.4892839640991 ,1103.742384301799
Military Commercial Joint Stock Bank                    ,"(1, 0, 0)" ,3          ,"(7, 1)" ,176.12077991635027,"(1, 0, 0)",171.18170903425377,1       ,"(7, 3)",180.78613409138714,270.600992169762  ,225.45072915475308
Mobile World Investment Corp                            ,"(1, 1, 1)" ,3          ,"(7, 1)" ,658.9879722058243 ,"(1, 1, 1)",649.5965895412503 ,2       ,"(6, 2)",696.7802157186688 ,729.839826183146  ,737.2158635384975
No Va Land Investment Group Corp                        ,"(1, 1, 0)" ,3          ,"(6, 3)" ,429.8941889456502 ,"(1, 1, 0)",469.2857573675055 ,3       ,"(4, 1)",417.6686406090053 ,482.54781490551613,542.8434487667374
PetroVietnam Fertilizer and Chemicals Corp              ,"(3, 1, 3)" ,2          ,"(3, 2)" ,247.86053170448278,"(3, 1, 3)",220.15257059913327,1       ,"(6, 3)",211.8532867066795 ,243.56041675971494,285.7497346458303
Phu Nhuan Jewelry JSC                                   ,"(3, 1, 3)" ,2          ,"(3, 2)" ,1437.5038591671293,"(3, 1, 3)",919.1059214900428 ,2       ,"(5, 1)",1067.0152569934614,1031.9929500973565,1094.222883810197
Refrigeration Electrical Engineering Corp               ,"(1, 0, 0)" ,2          ,"(7, 3)" ,332.0701846170357 ,"(1, 0, 0)",331.41875708933776,1       ,"(4, 3)",316.88870668401177,435.330760697868  ,389.14496660381303
Sai Gon Thuong Tin Commercial Joint Stock Bank          ,"(2, 1, 3)" ,1          ,"(7, 1)" ,111.3046495879486 ,"(2, 1, 3)",113.14499822740638,2       ,"(7, 3)",118.19164213453871,117.66494586645875,133.90314290632853
Saigon Beer Alcohol Beverage Corp                       ,"(1, 0, 0)" ,1          ,"(5, 2)" ,3005.79016068024  ,"(1, 0, 0)",3095.554433573637 ,1       ,"(6, 3)",3536.7695504083495,3420.654988153782 ,4238.507742962577
Saigon Securities Incorporation                         ,"(3, 0, 3)" ,2          ,"(5, 2)" ,289.06558545171947,"(3, 0, 3)",268.0512679575849 ,1       ,"(6, 3)",312.80641544686347,300.13770906389715,331.56604223302946
Vietnam Technological And Commercial Joint Stock Bank   ,"(1, 0, 0)" ,1          ,"(6, 2)" ,270.713591828738  ,"(1, 0, 0)",263.36885887833284,1       ,"(6, 3)",245.83912351675937,274.6966584702881 ,317.30114770774355
Thanh Thanh Cong Tay Ninh JSC                           ,"(1, 1, 0)" ,2          ,"(3, 2)" ,166.25132720473496,"(1, 1, 0)",132.5316586022574 ,2       ,"(7, 3)",172.71374187011526,172.04519686008842,169.3795118481177
Joint Stock Commercial Bank for Foreign Trade of Vietnam,"(2, 1, 1)" ,2          ,"(6, 1)" ,630.8908623216539 ,"(2, 1, 1)",539.1887600781804 ,1       ,"(4, 3)",511.056176127959  ,617.6397496155219 ,728.5743162091625
Vietjet Aviation JSC                                    ,"(1, 1, 2)" ,2          ,"(3, 2)" ,544.8108222785658 ,"(1, 1, 2)",547.8394773610968 ,2       ,"(6, 2)",576.9870482911392 ,806.1306267507955 ,826.6450707440157
Vietnam Export Import Commercial Joint Stock Bank       ,"(3, 1, 1)" ,1          ,"(3, 2)" ,210.6765100625528 ,"(3, 1, 1)",218.2365050182697 ,1       ,"(4, 2)",217.7593224961367 ,292.2807952836167 ,265.6429667526638
Vietnam JSCmmercial Bank for Industry and Trade         ,"(3, 0, 3)" ,1          ,"(3, 1)" ,243.27125670936888,"(3, 0, 3)",243.0853010550194 ,2       ,"(5, 1)",245.12009070561848,302.09357702202396,269.3001220966318
Vietnam Prosperity Joint Stock Commercial Bank          ,"(1, 0, 0)" ,1          ,"(3, 1)" ,142.56276938979184,"(1, 0, 0)",141.2231909850535 ,1       ,"(4, 3)",129.29156500460869,169.75938166469197,187.9467897335711
Vietnam Dairy Products JSC                              ,"(1, 1, 0)" ,3          ,"(7, 1)" ,1171.2798027755975,"(1, 1, 0)",1165.6092854172502,2       ,"(5, 1)",1153.0063007761528,1295.78650273946  ,1402.0313891831613
Vincom Retail JSC                                       ,"(3, 1, 3)" ,1          ,"(3, 3)" ,455.2177569860444 ,"(3, 1, 3)",377.0959570345616 ,1       ,"(4, 3)",364.31439717767125,472.17504678823025,464.94656285011143
Vingroup JSC                                            ,"(1, 0, 1)" ,2          ,"(7, 3)" ,949.5314162840649 ,"(1, 0, 1)",949.6175683587612 ,1       ,"(6, 3)",944.3174302607378 ,1082.4069910674034,1133.7859876457435
Vinhomes JSC                                            ,"(1, 0, 0)" ,1          ,"(3, 3)" ,643.6544938022372 ,"(1, 0, 0)",739.709711252198  ,1       ,"(7, 3)",665.9087479135073 ,836.6024030118357 ,811.0479138549496
Petrovietnam Gas JSC                                    ,"(2, 0, 0)" ,2          ,"(5, 3)" ,1310.8108641211718,"(2, 0, 0)",1308.6954639715193,2       ,"(6, 2)",1408.7015186923354,1481.6191615323398,1605.9630707650294
