name                                                    ,hybrid_order,hybrid_lags,hybrid_hl,hybrid             ,arima_order,arima             ,ann_lags,ann_hl  ,ann                ,lstm_gbm          ,gbm
Cotec Construction JSC                                  ,"(1, 0, 0)" ,2          ,"(5, 2)" ,1.1856260793257716 ,"(1, 0, 0)",1.2080799375706572,1       ,"(7, 3)",1.742725718387989  ,1.5468414986263856,1.6324372971871817
DHG Pharmaceutical JSC                                  ,"(1, 0, 0)" ,1          ,"(4, 2)" ,0.7138613704527871 ,"(1, 0, 0)",0.7263148680311045,1       ,"(6, 3)",0.711868261137186  ,1.0735708073320371,0.9749324451653534
Faros Construction Corp                                 ,"(1, 0, 0)" ,2          ,"(3, 2)" ,1.7435712296166392 ,"(1, 0, 0)",1.505438151078277 ,1       ,"(4, 3)",1.5474109237887586 ,1.7016052362814758,1.7548964754918268
FPT Corp                                                ,"(2, 1, 3)" ,1          ,"(5, 1)" ,0.869092984799808  ,"(2, 1, 3)",0.8745982916112265,2       ,"(7, 3)",1.1605754423482257 ,1.1572399933737028,1.197502738159882
Gemadept Corp                                           ,"(3, 0, 1)" ,1          ,"(4, 3)" ,0.9660495470872335 ,"(3, 0, 1)",0.7991263354824024,2       ,"(5, 1)",0.8809382353071138 ,0.9526933303890487,0.9886992557651355
Ho Chi Minh City Infrastructure Investment JSC          ,"(3, 1, 1)" ,2          ,"(6, 1)" ,1.135465104583497  ,"(3, 1, 1)",1.1047801368213963,2       ,"(7, 3)",0.9963692087697368 ,1.2475605077309797,1.5755393043111638
Ho Chi Minh City Development Joint Stock Commercial Bank,"(3, 0, 3)" ,1          ,"(6, 1)" ,1.2512531951380923 ,"(3, 0, 3)",1.2018866052441297,1       ,"(6, 3)",1.1803640315096566 ,1.4832740886786087,1.6599647652798346
Hoa Phat Group JSC                                      ,"(2, 0, 3)" ,1          ,"(7, 1)" ,0.9603290095965561 ,"(2, 0, 3)",0.9366745574046295,2       ,"(5, 1)",1.0319925560665546 ,1.3658471478765597,1.1291632813241745
Masan Group Corp                                        ,"(1, 1, 0)" ,2          ,"(6, 1)" ,1.0776980369471318 ,"(1, 1, 0)",0.9175457950631988,1       ,"(6, 3)",0.9134752202921606 ,1.095410972816699 ,1.2665702949185418
Military Commercial Joint Stock Bank                    ,"(1, 0, 0)" ,3          ,"(7, 1)" ,0.8074582499247122 ,"(1, 0, 0)",0.785649075055361 ,1       ,"(7, 3)",0.8326494104636164 ,1.241403334126832 ,1.0312354661658583
Mobile World Investment Corp                            ,"(1, 1, 1)" ,3          ,"(7, 1)" ,0.7719794706969848 ,"(1, 1, 1)",0.7611586272146372,2       ,"(6, 2)",0.8218848650639244 ,0.8581562133266751,0.8641500301317279
No Va Land Investment Group Corp                        ,"(1, 1, 0)" ,3          ,"(6, 3)" ,0.7439378941825294 ,"(1, 1, 0)",0.8101473346198522,3       ,"(4, 1)",0.7250621686432825 ,0.8311673373207781,0.9369748376240368
PetroVietnam Fertilizer and Chemicals Corp              ,"(3, 1, 3)" ,2          ,"(3, 2)" ,1.326200358498522  ,"(3, 1, 3)",1.1741336902083712,1       ,"(6, 3)",1.1366458028338045 ,1.30665672122619  ,1.5227607382261164
Phu Nhuan Jewelry JSC                                   ,"(3, 1, 3)" ,2          ,"(3, 2)" ,1.4223794729228498 ,"(3, 1, 3)",0.8987942402464372,2       ,"(5, 1)",1.0495202508811743 ,1.0097485274719948,1.0730752496320015
Refrigeration Electrical Engineering Corp               ,"(1, 0, 0)" ,2          ,"(7, 3)" ,1.018169790203761  ,"(1, 0, 0)",1.015815217006456 ,1       ,"(4, 3)",0.9738538580778892 ,1.3359115370097718,1.1908021534684252
Sai Gon Thuong Tin Commercial Joint Stock Bank          ,"(2, 1, 3)" ,1          ,"(7, 1)" ,0.9103131650502775 ,"(2, 1, 3)",0.9257867407999493,2       ,"(7, 3)",0.9679899063724077 ,0.9623592461573056,1.0956459094752256
Saigon Beer Alcohol Beverage Corp                       ,"(1, 0, 0)" ,1          ,"(5, 2)" ,1.224375747593419  ,"(1, 0, 0)",1.262440204041986 ,1       ,"(6, 3)",1.4263574303230842 ,1.3961726293385328,1.7235594404529753
Saigon Securities Incorporation                         ,"(3, 0, 3)" ,2          ,"(5, 2)" ,1.0797999301683026 ,"(3, 0, 3)",1.005782198873489 ,1       ,"(6, 3)",1.1838016422329274 ,1.1216633383898347,1.245324132966594
Vietnam Technological And Commercial Joint Stock Bank   ,"(1, 0, 0)" ,1          ,"(6, 2)" ,1.1472627949746619 ,"(1, 0, 0)",1.1160799500619432,1       ,"(6, 3)",1.0440962832443572 ,1.1721498109385775,1.349808192461671
Thanh Thanh Cong Tay Ninh JSC                           ,"(1, 1, 0)" ,2          ,"(3, 2)" ,0.9002174221851367 ,"(1, 1, 0)",0.7157117177020882,2       ,"(7, 3)",0.9398785510797253 ,0.9330601464224884,0.9177135644468142
Joint Stock Commercial Bank for Foreign Trade of Vietnam,"(2, 1, 1)" ,2          ,"(6, 1)" ,0.9472707458573374 ,"(2, 1, 1)",0.8071220052376515,1       ,"(4, 3)",0.7654245338031731 ,0.9267196650612285,1.0912710675879058
Vietjet Aviation JSC                                    ,"(1, 1, 2)" ,2          ,"(3, 2)" ,0.46939766889954593,"(1, 1, 2)",0.4697565098722988,2       ,"(6, 2)",0.49553521743182016,0.6939400067677803,0.7127750273569328
Vietnam Export Import Commercial Joint Stock Bank       ,"(3, 1, 1)" ,1          ,"(3, 2)" ,1.1957177554336402 ,"(3, 1, 1)",1.239924196094307 ,1       ,"(4, 2)",1.2371815275748177 ,1.658946924419719 ,1.5049453488636417
Vietnam JSCmmercial Bank for Industry and Trade         ,"(3, 0, 3)" ,1          ,"(3, 1)" ,1.1221380242184624 ,"(3, 0, 3)",1.1211602588215728,2       ,"(5, 1)",1.132696994732341  ,1.3893966512478868,1.243809284052209
Vietnam Prosperity Joint Stock Commercial Bank          ,"(1, 0, 0)" ,1          ,"(3, 1)" ,0.7591843727363056 ,"(1, 0, 0)",0.7518065847416459,1       ,"(4, 3)",0.6883812251622848 ,0.9058858467350691,1.0005563388401268
Vietnam Dairy Products JSC                              ,"(1, 1, 0)" ,3          ,"(7, 1)" ,0.8721868141629676 ,"(1, 1, 0)",0.8679743465474778,2       ,"(5, 1)",0.8600166065646487 ,0.9652746129323012,1.0468132621833146
Vincom Retail JSC                                       ,"(3, 1, 3)" ,1          ,"(3, 3)" ,1.3057739947951637 ,"(3, 1, 3)",1.0780652076921193,1       ,"(4, 3)",1.0382487220959107 ,1.3474567698585211,1.3229070618837235
Vingroup JSC                                            ,"(1, 0, 1)" ,2          ,"(7, 3)" ,0.8257685598503597 ,"(1, 0, 1)",0.8263196126575987,1       ,"(6, 3)",0.8214709036353471 ,0.9400930795322534,0.9848125046192865
Vinhomes JSC                                            ,"(1, 0, 0)" ,1          ,"(3, 3)" ,0.7526565472078078 ,"(1, 0, 0)",0.8662237105144062,1       ,"(7, 3)",0.7813627358259366 ,0.9783024518797118,0.947855035250396
Petrovietnam Gas JSC                                    ,"(2, 0, 0)" ,2          ,"(5, 3)" ,1.2444306857288914 ,"(2, 0, 0)",1.242229336541879 ,2       ,"(6, 2)",1.342592974277063  ,1.4016769311343031,1.5237603117088832
