name                                                    ,hybrid_order,hybrid_lags,hybrid_hl,hybrid            ,arima_order,arima             ,ann_lags,ann_hl  ,ann               ,lstm_gbm          ,gbm
Cotec Construction JSC                                  ,"(1, 0, 0)" ,2          ,"(5, 2)" ,5775373.342842667 ,"(1, 0, 0)",6395202.0603238605,1       ,"(7, 3)",8856670.99875505  ,8826232.4707861   ,8501572.928709254
DHG Pharmaceutical JSC                                  ,"(1, 0, 0)" ,1          ,"(4, 2)" ,1242365.5694575175,"(1, 0, 0)",1289595.5250877007,1       ,"(6, 3)",1252837.7197709766,2530209.3008961747,2294114.617380634
Faros Construction Corp                                 ,"(1, 0, 0)" ,2          ,"(3, 2)" ,733318.9032004104 ,"(1, 0, 0)",648763.153553003  ,1       ,"(4, 3)",554885.7416739272 ,755066.2505743003 ,876145.8827676198
FPT Corp                                                ,"(2, 1, 3)" ,1          ,"(5, 1)" ,268337.72711219575,"(2, 1, 3)",273203.309184337  ,2       ,"(7, 3)",339469.3476266602 ,375835.52727486676,423081.17831664643
Gemadept Corp                                           ,"(3, 0, 1)" ,1          ,"(4, 3)" ,120381.93309330626,"(3, 0, 1)",84067.36489346073 ,2       ,"(5, 1)",96633.67926669103 ,102746.39857632824,116311.95361318866
Ho Chi Minh City Infrastructure Investment JSC          ,"(3, 1, 1)" ,2          ,"(6, 1)" ,117309.3865485859 ,"(3, 1, 1)",129686.90061869449,2       ,"(7, 3)",96654.30410684792 ,145071.33138358622,255827.06077834786
Ho Chi Minh City Development Joint Stock Commercial Bank,"(3, 0, 3)" ,1          ,"(6, 1)" ,194730.39908581588,"(3, 0, 3)",183045.987674096  ,1       ,"(6, 3)",177822.0441758944 ,238822.54430607497,286914.45373726904
Hoa Phat Group JSC                                      ,"(2, 0, 3)" ,1          ,"(7, 1)" ,245354.38800923523,"(2, 0, 3)",239921.24014412204,2       ,"(5, 1)",250737.80781962967,394850.3928832729 ,274939.29877039586
Masan Group Corp                                        ,"(1, 1, 0)" ,2          ,"(6, 1)" ,1596437.0029472199,"(1, 1, 0)",1396678.993452315 ,1       ,"(6, 3)",1344503.4810204075,1627801.6116473502,2186513.4371880577
Military Commercial Joint Stock Bank                    ,"(1, 0, 0)" ,3          ,"(7, 1)" ,76541.94483946066 ,"(1, 0, 0)",76606.49697995561 ,1       ,"(7, 3)",79269.1704628638  ,146612.16848812855,111005.88472217362
Mobile World Investment Corp                            ,"(1, 1, 1)" ,3          ,"(7, 1)" ,794128.614973011  ,"(1, 1, 1)",783603.6494885384 ,2       ,"(6, 2)",870104.5949246065 ,1072823.5202024502,1068528.3450669923
No Va Land Investment Group Corp                        ,"(1, 1, 0)" ,3          ,"(6, 3)" ,349397.3362118726 ,"(1, 1, 0)",377682.0117844315 ,3       ,"(4, 1)",318799.96158816986,395918.8448065297 ,487871.0812163994
PetroVietnam Fertilizer and Chemicals Corp              ,"(3, 1, 3)" ,2          ,"(3, 2)" ,107706.87108219559,"(3, 1, 3)",83812.6683469451  ,1       ,"(6, 3)",76176.68681265239 ,102336.86420128755,118023.22411754748
Phu Nhuan Jewelry JSC                                   ,"(3, 1, 3)" ,2          ,"(3, 2)" ,3040044.6888920376,"(3, 1, 3)",1735462.415204134 ,2       ,"(5, 1)",1968091.5751045498,2062103.1234917121,2189536.75429813
Refrigeration Electrical Engineering Corp               ,"(1, 0, 0)" ,2          ,"(7, 3)" ,189063.5802323876 ,"(1, 0, 0)",190880.45840198477,1       ,"(4, 3)",192150.11133608557,305990.1169253546 ,262148.31235606555
Sai Gon Thuong Tin Commercial Joint Stock Bank          ,"(2, 1, 3)" ,1          ,"(7, 1)" ,23505.129876872452,"(2, 1, 3)",24099.324799651153,2       ,"(7, 3)",23181.09388303517 ,26522.82804848854 ,31551.951757650335
Saigon Beer Alcohol Beverage Corp                       ,"(1, 0, 0)" ,1          ,"(5, 2)" ,20282678.610965744,"(1, 0, 0)",23376745.06922139 ,1       ,"(6, 3)",23635508.901279487,25657016.04588672 ,33956219.51783883
Saigon Securities Incorporation                         ,"(3, 0, 3)" ,2          ,"(5, 2)" ,147761.27551176504,"(3, 0, 3)",131961.99246270803,1       ,"(6, 3)",173573.8760856261 ,149192.49151003666,190445.24459726698
Vietnam Technological And Commercial Joint Stock Bank   ,"(1, 0, 0)" ,1          ,"(6, 2)" ,148506.48490735938,"(1, 0, 0)",137448.12395327628,1       ,"(6, 3)",103995.7369367191 ,130355.63952126456,197692.6679514868
Thanh Thanh Cong Tay Ninh JSC                           ,"(1, 1, 0)" ,2          ,"(3, 2)" ,47575.1857312293  ,"(1, 1, 0)",37794.93554897971 ,2       ,"(7, 3)",50015.32376001261 ,48025.649301226425,51230.042380046325
Joint Stock Commercial Bank for Foreign Trade of Vietnam,"(2, 1, 1)" ,2          ,"(6, 1)" ,582778.3484363427 ,"(2, 1, 1)",513100.5757050756 ,1       ,"(4, 3)",474642.3139570426 ,663757.6140380051 ,875781.3646600079
Vietjet Aviation JSC                                    ,"(1, 1, 2)" ,2          ,"(3, 2)" ,666787.0392475554 ,"(1, 1, 2)",544046.4302487224 ,2       ,"(6, 2)",602824.2781379672 ,1207084.2939254136,1017208.8612506092
Vietnam Export Import Commercial Joint Stock Bank       ,"(3, 1, 1)" ,1          ,"(3, 2)" ,85434.06345857907 ,"(3, 1, 1)",82648.56980540777 ,1       ,"(4, 2)",83901.78205548131 ,138252.66265060162,124444.18059671453
Vietnam JSCmmercial Bank for Industry and Trade         ,"(3, 0, 3)" ,1          ,"(3, 1)" ,107749.22088402584,"(3, 0, 3)",108270.06602159177,2       ,"(5, 1)",104242.70383966542,154276.08089053715,128483.7616673043
Vietnam Prosperity Joint Stock Commercial Bank          ,"(1, 0, 0)" ,1          ,"(3, 1)" ,37940.83451894586 ,"(1, 0, 0)",38218.35491468737 ,1       ,"(4, 3)",31611.62876962939 ,47097.358808371326,56157.29117472786
