mae              ,mape              ,mse              ,order      ,rmse
657.3440808821877,0.7702965102821049,779533.4465306916,"(1, 0, 0)",882.9119132340959
656.1473724139507,0.768900671119879 ,782070.660993466 ,"(1, 0, 1)",884.3475905962915
661.5449796469319,0.7751024804891977,806615.8967937346,"(1, 0, 2)",898.117974875091
669.7897090782337,0.7848221843647369,821031.1795607035,"(1, 0, 3)",906.1077085869557
665.2434309891886,0.7794357004842827,816322.1603275635,"(1, 0, 4)",903.5054843926314
668.9584348660653,0.7837970112965637,822945.4380614666,"(1, 0, 5)",907.1634020734449
678.0632891659146,0.7942934428039108,862046.1587741498,"(1, 0, 6)",928.4644089970008
673.6837640792143,0.789278888521912 ,855199.4327833882,"(1, 0, 7)",924.7699350559512
670.1934879539215,0.7847179284393239,872101.5618719569,"(1, 0, 8)",933.8637812186298
664.67007260996  ,0.77818439530978  ,870498.2805548483,"(1, 0, 9)",933.0049734888064
