lags,hidden layers,mae     ,mape  ,mse         ,rmse
1   ,"(3, 1)"     ,1072.448,5.757 ,1365208.34  ,1168.421
1   ,"(3, 2)"     ,733.362 ,3.878 ,674963.803  ,821.562
1   ,"(3, 3)"     ,457.277 ,2.487 ,282118.624  ,531.148
1   ,"(4, 1)"     ,2374.124,12.335,6721493.055 ,2592.584
1   ,"(4, 2)"     ,591.529 ,3.145 ,441092.159  ,664.148
1   ,"(4, 3)"     ,259.713 ,1.385 ,112765.538  ,335.806
1   ,"(5, 1)"     ,1052.862,5.578 ,1343022.57  ,1158.889
1   ,"(5, 2)"     ,628.587 ,3.416 ,521919.83   ,722.44
1   ,"(5, 3)"     ,678.394 ,3.496 ,738926.12   ,859.608
1   ,"(6, 1)"     ,1307.93 ,7.229 ,2464171.473 ,1569.768
1   ,"(6, 2)"     ,691.757 ,3.565 ,695599.997  ,834.026
1   ,"(6, 3)"     ,211.853 ,1.137 ,76176.687   ,276.001
1   ,"(7, 1)"     ,995.87  ,5.247 ,1240238.526 ,1113.66
1   ,"(7, 2)"     ,1781.47 ,9.606 ,3328135.219 ,1824.318
1   ,"(7, 3)"     ,247.308 ,1.316 ,94697.843   ,307.73
2   ,"(3, 1)"     ,3083.619,15.899,12567157.572,3545.019
2   ,"(3, 2)"     ,1655.611,8.557 ,3876472.227 ,1968.876
2   ,"(3, 3)"     ,722.309 ,3.898 ,665623.232  ,815.857
2   ,"(4, 1)"     ,1294.516,6.597 ,2648685.453 ,1627.478
2   ,"(4, 2)"     ,1479.554,8.167 ,3082424.555 ,1755.684
2   ,"(4, 3)"     ,2178.61 ,11.238,6223487.321 ,2494.692
2   ,"(5, 1)"     ,246.061 ,1.315 ,105964.165  ,325.521
2   ,"(5, 2)"     ,512.536 ,2.809 ,385886.677  ,621.198
2   ,"(5, 3)"     ,290.636 ,1.557 ,133853.794  ,365.86
2   ,"(6, 1)"     ,580.297 ,2.998 ,538266.809  ,733.667
2   ,"(6, 2)"     ,249.724 ,1.34  ,97252.258   ,311.853
2   ,"(6, 3)"     ,280.298 ,1.491 ,130475.654  ,361.214
2   ,"(7, 1)"     ,2397.15 ,12.099,10661613.596,3265.213
2   ,"(7, 2)"     ,376.117 ,1.989 ,235565.775  ,485.351
2   ,"(7, 3)"     ,249.338 ,1.326 ,101823.071  ,319.097
3   ,"(3, 1)"     ,1074.008,5.708 ,1379317.494 ,1174.443
3   ,"(3, 2)"     ,1291.933,6.577 ,2720563.958 ,1649.413
3   ,"(3, 3)"     ,579.264 ,3.04  ,451711.515  ,672.095
3   ,"(4, 1)"     ,396.816 ,2.118 ,258657.924  ,508.584
3   ,"(4, 2)"     ,493.526 ,2.626 ,357505.413  ,597.918
3   ,"(4, 3)"     ,510.386 ,2.789 ,376103.361  ,613.273
3   ,"(5, 1)"     ,1189.337,6.135 ,1932293.366 ,1390.07
3   ,"(5, 2)"     ,608.134 ,3.229 ,469402.111  ,685.129
3   ,"(5, 3)"     ,1220.985,6.425 ,1679411.263 ,1295.921
3   ,"(6, 1)"     ,2897.469,15.852,10028499.867,3166.781
3   ,"(6, 2)"     ,1383.857,7.571 ,2324805.171 ,1524.731
3   ,"(6, 3)"     ,578.517 ,3.062 ,453787.985  ,673.638
3   ,"(7, 1)"     ,892.184 ,4.949 ,1217048.848 ,1103.199
3   ,"(7, 2)"     ,557.377 ,3.036 ,435056.568  ,659.588
3   ,"(7, 3)"     ,274.373 ,1.449 ,129266.062  ,359.536
