lags,hidden layers,mae     ,mape ,mse         ,rmse
1   ,"(3, 1)"     ,2428.925,2.407,6954875.293 ,2637.21
1   ,"(3, 2)"     ,2625.557,2.605,7996172.614 ,2827.75
1   ,"(3, 3)"     ,1927.539,1.905,4986832.707 ,2233.122
1   ,"(4, 1)"     ,4309.224,4.249,20558899.573,4534.192
1   ,"(4, 2)"     ,2430.954,2.41 ,6977066.707 ,2641.414
1   ,"(4, 3)"     ,1396.412,1.373,3183248.59  ,1784.166
1   ,"(5, 1)"     ,2513.403,2.493,7356837.767 ,2712.349
1   ,"(5, 2)"     ,2533.659,2.512,7524859.433 ,2743.148
1   ,"(5, 3)"     ,2841.047,2.821,9306704.528 ,3050.689
1   ,"(6, 1)"     ,4432.336,4.404,22463648.206,4739.583
1   ,"(6, 2)"     ,2308.39 ,2.273,7671775.755 ,2769.797
1   ,"(6, 3)"     ,1662.991,1.643,3761552.647 ,1939.472
1   ,"(7, 1)"     ,2335.471,2.316,6463708.285 ,2542.382
1   ,"(7, 2)"     ,6494.616,6.444,45002939.618,6708.423
1   ,"(7, 3)"     ,2313.612,2.293,6406960.576 ,2531.197
2   ,"(3, 1)"     ,5575.134,5.495,32907918.443,5736.542
2   ,"(3, 2)"     ,1498.945,1.484,3281632.64  ,1811.528
2   ,"(3, 3)"     ,3112.776,3.093,11264702.853,3356.293
2   ,"(4, 1)"     ,2398.517,2.364,7710269.572 ,2776.737
2   ,"(4, 2)"     ,4770.599,4.739,25658055.989,5065.378
2   ,"(4, 3)"     ,4246.548,4.187,19979630.049,4469.858
2   ,"(5, 1)"     ,2009.038,1.989,5255382.089 ,2292.462
2   ,"(5, 2)"     ,2542.781,2.521,7626750.276 ,2761.657
2   ,"(5, 3)"     ,2377.449,2.357,6679201.569 ,2584.415
2   ,"(6, 1)"     ,1506.728,1.487,3014170.949 ,1736.137
2   ,"(6, 2)"     ,1619.683,1.597,4043170.324 ,2010.764
2   ,"(6, 3)"     ,1718.074,1.696,3830762.646 ,1957.233
2   ,"(7, 1)"     ,5492.416,5.433,34330863.003,5859.254
2   ,"(7, 2)"     ,1615.972,1.59 ,3747260.06  ,1935.784
2   ,"(7, 3)"     ,2198.326,2.18 ,5936447.95  ,2436.483
3   ,"(3, 1)"     ,2862.404,2.841,9383035.193 ,3063.174
3   ,"(3, 2)"     ,1793.234,1.754,5180532.76  ,2276.078
3   ,"(3, 3)"     ,1956.266,1.922,5565910.909 ,2359.218
3   ,"(4, 1)"     ,1610.845,1.583,4133167.41  ,2033.019
3   ,"(4, 2)"     ,1740.929,1.712,4499351.018 ,2121.167
3   ,"(4, 3)"     ,3665.593,3.642,15400226.123,3924.312
3   ,"(5, 1)"     ,4539.568,4.496,25776332.682,5077.04
3   ,"(5, 2)"     ,2615.404,2.593,8031207.273 ,2833.938
3   ,"(5, 3)"     ,4351.781,4.314,20865205.35 ,4567.845
3   ,"(6, 1)"     ,7443.737,7.373,57164192.064,7560.701
3   ,"(6, 2)"     ,5567.49 ,5.522,33272201.902,5768.206
3   ,"(6, 3)"     ,2942.543,2.924,10067977.413,3173.008
3   ,"(7, 1)"     ,2537.677,2.515,7527533.245 ,2743.635
3   ,"(7, 2)"     ,3162.196,3.137,12245104.017,3499.301
3   ,"(7, 3)"     ,1786.343,1.768,4124691.096 ,2030.934
