symbol,hybrid  ,arima   ,ann     ,lstmGbm ,gbm
CTD   ,1539.876,1566.108,2189.917,1993.154,2083.478
DHG   ,828.831 ,842.905 ,826.615 ,1247.941,1131.675
ROS   ,554.812 ,487.392 ,495.388 ,548.42  ,566.436
FPT   ,372.126 ,374.881 ,491.983 ,495.306 ,509.062
GMD   ,257.475 ,213.707 ,235.373 ,255.011 ,264.591
CII   ,272.134 ,264.894 ,238.77  ,298.991 ,378.031
HDB   ,336.942 ,323.15  ,318.131 ,399.572 ,448.078
HPG   ,313.741 ,306.058 ,336.756 ,446.045 ,369.643
MSN   ,939.048 ,799.792 ,797.284 ,955.489 ,1103.742
MBB   ,176.121 ,171.182 ,180.786 ,270.601 ,225.451
MWG   ,658.988 ,649.597 ,696.78  ,729.84  ,737.216
NVL   ,429.894 ,469.286 ,417.669 ,482.548 ,542.843
DPM   ,247.861 ,220.153 ,211.853 ,243.56  ,285.75
PNJ   ,1437.504,919.106 ,1067.015,1031.993,1094.223
REE   ,332.07  ,331.419 ,316.889 ,435.331 ,389.145
STB   ,111.305 ,113.145 ,118.192 ,117.665 ,133.903
SAB   ,3005.79 ,3095.554,3536.77 ,3420.655,4238.508
SSI   ,289.066 ,268.051 ,312.806 ,300.138 ,331.566
TCB   ,270.714 ,263.369 ,245.839 ,274.697 ,317.301
SBT   ,166.251 ,132.532 ,172.714 ,172.045 ,169.38
VCB   ,630.891 ,539.189 ,511.056 ,617.64  ,728.574
VJC   ,544.811 ,547.839 ,576.987 ,806.131 ,826.645
EIB   ,210.677 ,218.237 ,217.759 ,292.281 ,265.643
CTG   ,243.271 ,243.085 ,245.12  ,302.094 ,269.3
VPB   ,142.563 ,141.223 ,129.292 ,169.759 ,187.947
VNM   ,1171.28 ,1165.609,1153.006,1295.787,1402.031
VRE   ,455.218 ,377.096 ,364.314 ,472.175 ,464.947
VIC   ,949.531 ,949.618 ,944.317 ,1082.407,1133.786
VHM   ,643.654 ,739.71  ,665.909 ,836.602 ,811.048
GAS   ,1310.811,1308.695,1408.702,1481.619,1605.963
