symbol,hybrid,arima,ann  ,lstmGbm,gbm
CTD   ,1.186 ,1.208,1.743,1.547  ,1.632
DHG   ,0.714 ,0.726,0.712,1.074  ,0.975
ROS   ,1.744 ,1.505,1.547,1.702  ,1.755
FPT   ,0.869 ,0.875,1.161,1.157  ,1.198
GMD   ,0.966 ,0.799,0.881,0.953  ,0.989
CII   ,1.135 ,1.105,0.996,1.248  ,1.576
HDB   ,1.251 ,1.202,1.18 ,1.483  ,1.66
HPG   ,0.96  ,0.937,1.032,1.366  ,1.129
MSN   ,1.078 ,0.918,0.913,1.095  ,1.267
MBB   ,0.807 ,0.786,0.833,1.241  ,1.031
MWG   ,0.772 ,0.761,0.822,0.858  ,0.864
NVL   ,0.744 ,0.81 ,0.725,0.831  ,0.937
DPM   ,1.326 ,1.174,1.137,1.307  ,1.523
PNJ   ,1.422 ,0.899,1.05 ,1.01   ,1.073
REE   ,1.018 ,1.016,0.974,1.336  ,1.191
STB   ,0.91  ,0.926,0.968,0.962  ,1.096
SAB   ,1.224 ,1.262,1.426,1.396  ,1.724
SSI   ,1.08  ,1.006,1.184,1.122  ,1.245
TCB   ,1.147 ,1.116,1.044,1.172  ,1.35
SBT   ,0.9   ,0.716,0.94 ,0.933  ,0.918
VCB   ,0.947 ,0.807,0.765,0.927  ,1.091
VJC   ,0.469 ,0.47 ,0.496,0.694  ,0.713
EIB   ,1.196 ,1.24 ,1.237,1.659  ,1.505
CTG   ,1.122 ,1.121,1.133,1.389  ,1.244
VPB   ,0.759 ,0.752,0.688,0.906  ,1.001
VNM   ,0.872 ,0.868,0.86 ,0.965  ,1.047
VRE   ,1.306 ,1.078,1.038,1.347  ,1.323
VIC   ,0.826 ,0.826,0.821,0.94   ,0.985
VHM   ,0.753 ,0.866,0.781,0.978  ,0.948
GAS   ,1.244 ,1.242,1.343,1.402  ,1.524
